id,ORF,direction
integer,varchar,varchar
primary key,,
1,YLR028C,gene
2,YMR120C,gene
3,YBL013W,gene
4,YGR204W,gene
5,YBR084W,gene
6,YDR408C,gene
7,YDR403W,gene
8,YNL130C,gene
9,YHR123W,gene
10,YDR503C,gene
11,YDR284C,gene
12,YCR048W,gene
13,YNR019W,gene
14,YKL004W,gene
15,YDR072C,gene
16,YNR008W,gene
17,YPL268W,gene
18,YDR058C,gene
19,YMR313C,gene
20,YOR245C,gene
21,YGR282C,gene
22,YDR261C,gene
23,YOR190W,gene
24,YLR300W,gene
25,YLR342W,gene
26,YCR034W,gene
27,YMR307W,gene
28,YMR215W,gene
29,YMR306W,gene
30,YLR343W,gene
31,YOL030W,gene
32,YGR032W,gene
33,YOL132W,gene
34,YHR068W,gene
35,YKL152C,gene
36,YJR009C,gene
37,YJL052W,gene
38,YGR192C,gene
39,YCR012W,gene
40,YEL011W,gene
41,YJL137C,gene
42,YFR015C,gene
43,YKR058W,gene
44,YLR258W,gene
45,YPR159W,gene
46,YGR143W,gene
47,YBR184W,gene
48,YIL124W,gene
49,YDL052C,gene
50,UNKNOWN,gene
51,YKR067W,gene
52,YBL011W,gene
56,YPR140W,gene
58,YLR285W,gene
59,YHR037W,gene
60,YER023W,gene
62,YLR142W,gene
63,YGR247W,gene
64,YJR016C,gene
65,YLR355C,gene
69,YLR359W,gene
70,YAR015W,gene
71,YBR153W,gene
72,YBL033C,gene
74,YOL066C,gene
75,YCL009C,gene
76,YMR108W,gene
78,YNL256W,gene
79,YMR226C,gene
81,YKL211C,gene
82,YDR007W,gene
83,YBR249C,gene
84,YDR035W,gene
85,YDR127W,gene
86,YHR044C,gene
87,YHR043C,gene
88,YHR063C,gene
90,YBR176W,gene
93,YLR209C,gene
94,YCR036W,gene
95,YDR294C,gene
96,YGL119W,gene
97,YGR255C,gene
98,YDR204W,gene
99,YOL096C,gene
100,YML110C,gene
101,YOR125C,gene
102,YLR201C,gene
103,YMR009W,gene
104,YEL038W,gene
105,YPL214C,gene
106,YPL258C,gene
107,YOL055C,gene
108,YOR377W,gene
109,YGR177C,gene
110,YLR044C,gene
111,YLR134W,gene
112,YGR087C,gene
113,YDL080C,gene
114,YDR380W,gene
115,YDR368W,gene
116,YGL256W,gene
117,YMR303C,gene
118,YBR145W,gene
119,YDL168W,gene
120,YOL086C,gene
121,YMR083W,gene
122,YMR318C,gene
123,YBR036C,gene
135,YPR002W,gene
136,YPR001W,gene
150,YAL012W,gene
151,YCL064C,gene
152,YML082W,gene
153,YKL218C,gene
154,YER086W,gene
156,YOR393W,gene
157,YGR254W,gene
158,YPL281C,gene
159,YHR174W,gene
160,YMR323W,gene
161,YDL021W,gene
162,YOL056W,gene
173,YLR027C,gene
174,YKL106W,gene
175,YHR137W,gene
176,YGL202W,gene
177,YBR166C,gene
178,YOR360C,gene
182,YER175C,gene
183,YCL018W,gene
184,YGL009C,gene
186,YOR108W,gene
187,YNL104C,gene
188,YJR148W,gene
189,YHR208W,gene
198,YBR265W,gene
199,YMR296C,gene
200,YDR062W,gene
201,YBR058C_A,gene
202,YJR025C,gene
203,YLR231C,gene
212,YGL026C,gene
241,YIL160C,gene
242,YKR009C,gene
251,YNR041C,gene
255,YER081W,gene
256,YIL074C,gene
260,YOR184W,gene
263,YGL148W,gene
265,YNL280C,gene
266,YHR042W,gene
267,YNL111C,gene
268,YIL043C,gene
269,YKL150W,gene
270,YHR007C,gene
272,YGR060W,gene
273,YDL210W,gene
274,YGR019W,gene
275,YOR374W,gene
276,YER073W,gene
277,YOR348C,gene
278,YMR250W,gene
282,YMR289W,gene
285,YNR033W,gene
288,YPR121W,gene
290,YMR293C,gene
291,YDR242W,gene
300,YCR053W,gene
306,YLR100W,gene
308,YGL001C,gene
312,YDR158W,gene
313,YER052C,gene
314,YDR531W,gene
315,YOL143C,gene
316,YBR256C,gene
317,YOR128C,gene
320,YDR232W,gene
321,YGL040C,gene
323,YNR043W,gene
324,YMR220W,gene
325,YER183C,gene
326,YAL044C,gene
327,YDR019C,gene
328,YMR189W,gene
329,YER178W,gene
330,YBR221C,gene
331,YLR017W,gene
333,YPR069C,gene
334,YLR146C,gene
335,YER091C,gene
336,YPL023C,gene
337,YGL125W,gene
338,YMR208W,gene
340,YJL221C,gene
341,YGR256W,gene
342,YHR183W,gene
343,YGR248W,gene
344,YNR034W,gene
345,YHR163W,gene
346,YCR073W_A,gene
347,YNL241C,gene
352,YNR056C,gene
353,YNR058W,gene
354,YKL182W,gene
355,YPL231W,gene
356,YBR026C,gene
357,YHR067W,gene
358,YKL192C,gene
359,YER061C,gene
360,YOR221C,gene
361,YKL055C,gene
362,YML086C,gene
363,YBR149W,gene
364,YBR115C,gene
365,YGL154C,gene
366,YNR050C,gene
369,YCR075C,gene
370,YJL060W,gene
371,YJR078W,gene
374,YBL098W,gene
375,YMR020W,gene
376,YBR034C,gene
378,YBR180W,gene
379,YDR402C,gene
384,YJL068C,gene
389,YHR072W,gene
390,YGR175C,gene
391,YLL057C,gene
392,YPL028W,gene
393,YML126C,gene
394,YHR104W,gene
399,YOR126C,gene
400,YBL015W,gene
401,YLR153C,gene
402,YAL054C,gene
403,YCR032W,gene
404,YCR010C,gene
405,YLR303W,gene
406,YPL061W,gene
407,YLR307W,gene
408,YLR308W,gene
409,YGR012W,gene
410,YJR130C,gene
423,YEL046C,gene
426,YNR016C,gene
427,YMR207C,gene
428,YFL017C,gene
429,YMR062C,gene
430,YJL071W,gene
432,YGL205W,gene
443,YFL018C,gene
444,YML042W,gene
445,YAR035W,gene
446,YER024W,gene
447,YNR001C,gene
449,YCR005C,gene
451,YOR180C,gene
452,YNL202W,gene
453,YLR284C,gene
454,YGR037C,gene
455,YDL131W,gene
456,YDL182W,gene
458,YNL277W,gene
461,YIR031C,gene
462,YNL117W,gene
467,YNL071W,gene
468,YGR193C,gene
469,YDL040C,gene
470,YGR147C,gene
474,YER069W,gene
475,YOL140W,gene
476,YEL058W,gene
477,YDL103C,gene
490,YOR100C,gene
498,YAL060W,gene
499,YLR351C,gene
500,YIL164C,gene
501,YJL126W,gene
502,YNL141W,gene
503,YER060W_A,gene
504,YER056C,gene
505,YER060W,gene
506,YGL186C,gene
507,YDR400W,gene
508,YML022W,gene
509,YDR441C,gene
510,YML035C,gene
511,YBR284W,gene
512,YJL070C,gene
516,YJR105W,gene
518,YAL022C,gene
519,YER043C,gene
524,YDR226W,gene
525,YER170W,gene
527,YKL001C,gene
528,YBR208C,gene
529,YDR305C,gene
530,YJL130C,gene
532,YPR128C,gene
533,YDR530C,gene
534,YCL050C,gene
535,YER005W,gene
536,YEL017C_A,gene
537,YCR024C_A,gene
538,YGL008C,gene
539,YPL036W,gene
540,YPL234C,gene
541,YMR054W,gene
542,YKL080W,gene
543,YHR026W,gene
544,YEL051W,gene
545,YDL185W,gene
546,YBR127C,gene
547,YEL027W,gene
548,YGR020C,gene
549,YHR039C_A,gene
550,YLR447C,gene
551,YOR332W,gene
552,YPR036W,gene
553,YPL078C,gene
554,YLR295C,gene
555,YJR121W,gene
556,YDR298C,gene
557,YDL004W,gene
558,YBL099W,gene
559,Q0085,gene
560,Q0080,gene
561,Q0130,gene
562,YBR039W,gene
563,YDL181W,gene
564,YDR377W,gene
565,YKL016C,gene
566,YML081C_A,gene
567,YPL271W,gene
568,YOL077W_A,gene
569,YDR322C_A,gene
570,YPR020W,gene
571,YOR270C,gene
572,YBL030C,gene
573,YBR085W,gene
574,YMR056C,gene
575,YJR109C,gene
576,YOR303W,gene
577,YLR133W,gene
578,YBL039C,gene
579,YJR103W,gene
580,YNR012W,gene
581,YNR057C,gene
582,YDR454C,gene
583,YML070W,gene
584,YFL053W,gene
588,YJR057W,gene
589,YDR147W,gene
590,YPL147W,gene
591,YKL188C,gene
595,YBR020W,gene
596,YPR035W,gene
597,YDR300C,gene
598,YJL101C,gene
599,YCL040W,gene
600,YHL032C,gene
601,YDR135C,gene
602,YOL049W,gene
604,YGL253W,gene
605,YFR053C,gene
609,YHR025W,gene
610,YGR244C,gene
611,YOR142W,gene
613,YDR315C,gene
614,YDR173C,gene
615,YEL041W,gene
616,YJR049C,gene
617,YPL188W,gene
618,YKL067W,gene
619,YLR043C,gene
620,YGR209C,gene
621,YGL062W,gene
622,YBR218C,gene
623,YGR240C,gene
624,YMR205C,gene
625,YIL107C,gene
626,YOL136C,gene
628,YFR019W,gene
629,YDR208W,gene
630,YLR240W,gene
631,YKL203C,gene
632,YJR066W,gene
633,YNL267W,gene
634,YLR305C,gene
636,YDR017C,gene
638,YKR097W,gene
639,YGL234W,gene
641,YGR061C,gene
642,YAL038W,gene
643,YOR347C,gene
644,YDR236C,gene
645,YJL026W,gene
646,YER070W,gene
647,YIL066C,gene
648,YGR180C,gene
649,YNL129W,gene
650,YLR260W,gene
651,YOR171C,gene
652,YLL048C,gene
653,YOR241W,gene
654,YKL132C,gene
655,YMR113W,gene
656,YOR143C,gene
657,YKL024C,gene
658,YGR194C,gene
669,YLR172C,gene
670,YPL273W,gene
671,YLL062C,gene
672,YJR073C,gene
674,YGR157W,gene
675,YML008C,gene
676,YKR069W,gene
677,YDR481C,gene
678,YGR267C,gene
682,YBR248C,gene
687,YDR148C,gene
688,YIL125W,gene
690,YDR111C,gene
691,YLR089C,gene
694,YDL215C,gene
695,YOR375C,gene
696,YAL062W,gene
697,YDL171C,gene
700,YIL116W,gene
701,YNL037C,gene
702,YOR136W,gene
703,YLR174W,gene
704,YDL066W,gene
705,YNL009W,gene
709,YLR438W,gene
710,YPL134C,gene
711,YOR222W,gene
714,YIR034C,gene
716,YMR170C,gene
717,YMR169C,gene
718,YIL145C,gene
720,YFL030W,gene
723,YOR335C,gene
724,YOL020W,gene
725,YPL265W,gene
726,YKR039W,gene
727,YCL025C,gene
728,YLR299W,gene
737,YIR027C,gene
738,YIR028W,gene
739,YIR029W,gene
741,YJR152W,gene
750,YOL052C,gene
752,YPL274W,gene
753,YNL003C,gene
758,YDR502C,gene
759,YLR180W,gene
784,YOL058W,gene
785,YDR341C,gene
786,YHR091C,gene
787,YGR124W,gene
788,YML096W,gene
789,YPR145W,gene
790,YHR019C,gene
791,YCR024C,gene
792,YLL018C,gene
793,YPL104W,gene
796,YOL064C,gene
797,YNL247W,gene
799,YBR041W,gene
800,YER015W,gene
801,YIL009W,gene
802,YOR317W,gene
803,YMR246W,gene
804,YOR168W,gene
805,YGL245W,gene
806,YOL033W,gene
807,YBR121C,gene
808,YPR081C,gene
809,YMR217W,gene
810,YPR033C,gene
811,YBL076C,gene
812,YPL040C,gene
813,YPL160W,gene
814,YLR382C,gene
815,YDR037W,gene
816,YNL073W,gene
817,YGR264C,gene
818,YGR171C,gene
819,YGL067W,gene
820,YHR074W,gene
823,YGL248W,gene
824,YFL022C,gene
825,YLR060W,gene
826,YPR047W,gene
827,YER087W,gene
828,YHR020W,gene
829,YHL011C,gene
830,YOL061W,gene
831,YER099C,gene
832,YBL068W,gene
833,YKL181W,gene
834,YHR011W,gene
835,YDR023W,gene
836,YIL078W,gene
837,YKL194C,gene
839,YOL097C,gene
840,YDR268W,gene
841,YGR185C,gene
842,YPL097W,gene
843,YGR094W,gene
844,YDR354W,gene
845,YER090W,gene
862,YJR010W,gene
866,YPL111W,gene
867,YHR018C,gene
870,YEL063C,gene
871,YNL270C,gene
872,YBR293W,gene
880,YDR321W,gene
881,YLR157C,gene
882,YLR160C,gene
883,YLR158C,gene
884,YLR155C,gene
890,YDR508C,gene
891,YJR001W,gene
892,YKL146W,gene
893,YNL101W,gene
896,YNL220W,gene
909,YPR021C,gene
915,YFL055W,gene
916,YER119C,gene
932,YJL005W,gene
952,YER055C,gene
992,YDL141W,gene
1017,YDL045C,gene
1063,YGR010W,gene
1064,YLR328W,gene
1122,YDR234W,gene
1126,YGR065C,gene
1127,YGR286C,gene
1133,YLR420W,gene
1136,YJL088W,gene
1137,YMR013C,gene
1145,YGR202C,gene
1148,YCL004W,gene
1149,YDL142C,gene
1150,YBR029C,gene
1151,YPR113W,gene
1152,YER026C,gene
1154,YGR007W,gene
1155,YDR297W,gene
1156,YKL008C,gene
1157,YHL003C,gene
1158,YMR272C,gene
1159,YER019W,gene
1167,YPL087W,gene
1189,YBR038W,gene
1190,YNL192W,gene
1191,YBR023C,gene
1194,YGL077C,gene
1196,YPL110C,gene
1197,YKR031C,gene
1203,YPR060C,gene
1205,YLR304C,gene
1206,YJL200C,gene
1208,YBR291C,gene
1218,YBR192W,gene
1222,YGL224C,gene
1253,YDR044W,gene
1257,YJL196C,gene
1258,YLR372W,gene
1259,YDL015C,gene
1260,YPL275W,gene
1261,YOR388C,gene
1262,YPL276W,gene
1276,YKL029C,gene
1277,YFR047C,gene
1278,YEL021W,gene
1279,YKL184W,gene
1286,YNL316C,gene
1287,YGR170W,gene
1288,YNL169C,gene
1293,YIR032C,gene
1294,YDR047W,gene
1312,YPL148C,gene
1324,YLR151C,gene
1325,YHR002W,gene
1349,YLR195C,gene
1352,YLR450W,gene
1353,YML075C,gene
1371,YJR019C,gene
1379,YBR132C,gene
1387,YPR062W,gene
1405,YBR069C,gene
1406,YBR068C,gene
1407,YDR046C,gene
1411,YFR055W,gene
1412,YGL184C,gene
1413,YGR155W,gene
1417,YLR245C,gene
1439,YDR487C,gene
1444,YMR006C,gene
1445,YMR008C,gene
1446,YOL011W,gene
1447,YML059C,gene
1471,YHR144C,gene
1524,YOR120W,gene
1527,YKL060C,gene
1528,YDL022W,gene
1529,YOL059W,gene
1530,YIL155C,gene
1533,YDR050C,gene
1534,YOR236W,gene
1535,YOR074C,gene
1538,YDL100C,gene
1540,YKL216W,gene
1550,YJL167W,gene
1551,YPL117C,gene
1555,YDL093W,gene
1556,YOR321W,gene
1557,YDL095W,gene
1558,YAL023C,gene
1559,YJR143C,gene
1560,YGR199W,gene
1561,YPR183W,gene
1571,YBR213W,gene
1588,YBR252W,gene
1604,YLR354C,gene
1605,YGR043C,gene
1606,YBR117C,gene
1607,YPR074C,gene
1609,YOR202W,gene
1610,YLR056W,gene
1611,YMR202W,gene
1613,YLL012W,gene
1614,YKL140W,gene
1615,YLR020C,gene
1616,YOR011W,gene
1617,YIL013C,gene
1623,YLR189C,gene
1624,YGL012W,gene
1638,YMR015C,gene
1665,YJL155C,gene
1668,YLR377C,gene
1670,YBR196C,gene
1671,YKL104C,gene
1672,YMR085W,gene
1673,YMR084W,gene
1676,YER003C,gene
1685,YIL134W,gene
1687,YEL047C,gene
1688,YJR051W,gene
1698,YOR176W,gene
1699,YMR319C,gene
1715,YKR066C,gene
1716,YJR048W,gene
1717,YEL039C,gene
1718,YMR256C,gene
1719,YLR038C,gene
1720,YHR051W,gene
1721,YGL187C,gene
1722,Q0275,gene
1723,Q0045,gene
1724,Q0250,gene
1725,YDL067C,gene
1726,YGL191W,gene
1727,YIL111W,gene
1728,YLR395C,gene
1729,YNL052W,gene
1730,YPR191W,gene
1731,YJL166W,gene
1732,YGR183C,gene
1733,YEL024W,gene
1734,YBL045C,gene
1735,Q0105,gene
1736,YDR529C,gene
1737,YFR033C,gene
1738,YHR001W_A,gene
1739,YOR065W,gene
1740,YEL071W,gene
1741,YDL174C,gene
1742,YDL178W,gene
1743,YML054C,gene
1745,YBR093C,gene
1746,YAR071W,gene
1749,YLR011W,gene
1803,YPL069C,gene
1804,YPL172C,gene
1805,YHR190W,gene
1806,YJL214W,gene
1807,YDR343C,gene
1808,YHR092C,gene
1809,YMR011W,gene
1810,YJR158W,gene
1811,YEL069C,gene
1812,YFL011W,gene
1813,YHR094C,gene
1814,YOL156W,gene
1815,YDL245C,gene
1816,YNR072W,gene
1817,YDR345C,gene
1818,YHR096C,gene
1819,YDR342C,gene
1820,YJL219W,gene
1823,YJR159W,gene
1824,YIL162W,gene
1830,YPL262W,gene
1831,YLR348C,gene
1832,YKL141W,gene
1833,YDR178W,gene
1834,YJL045W,gene
1835,YLL041C,gene
1836,YKL148C,gene
1837,YLR164W,gene
1838,YMR118C,gene
1839,YJR095W,gene
1840,YBR018C,gene
1841,YKL035W,gene
1842,YHL012W,gene
1843,YPR160W,gene
1844,YKL127W,gene
1845,YMR105C,gene
1856,YCR098C,gene
1871,YJL153C,gene
1874,YDR074W,gene
1875,YBR126C,gene
1876,YML100W,gene
1877,YMR261C,gene
1886,YLR081W,gene
1887,YNL318C,gene
1888,YDR536W,gene
1889,YJR153W,gene
1908,YPL053C,gene
1909,YBR199W,gene
1910,YKR061W,gene
1911,YDR483W,gene
1912,YOR099W,gene
1913,YBR205W,gene
1914,YNL029C,gene
1915,YJL139C,gene
1916,YDL198C,gene
1918,YPL057C,gene
1919,YBR161W,gene
1920,YEL042W,gene
1937,YGL225W,gene
1938,YDL055C,gene
1967,YPR184W,gene
1968,YIL099W,gene
1972,YIL172C,gene
1973,YBR299W,gene
1974,YGR292W,gene
1975,YGR287C,gene
1976,YJL216C,gene
1978,YDR001C,gene
1979,YBR001C,gene
1980,YPR026W,gene
2004,YMR300C,gene
2011,YOR323C,gene
2080,YER065C,gene
2094,YLR058C,gene
2095,YBR263W,gene
2108,YER062C,gene
2109,YIL053W,gene
2120,YLL043W,gene
2121,YGL084C,gene
2122,YPL189W,gene
2138,YDR399W,gene
2144,YPL091W,gene
2145,YDR098C,gene
2146,YER174C,gene
2147,YIR037W,gene
2148,YBR244W,gene
2149,YKL026C,gene
2151,YDR272W,gene
2152,YOR040W,gene
2160,YJL212C,gene
2163,YML004C,gene
2185,YDL238C,gene
2190,YGR088W,gene
2191,YDR256C,gene
2200,YDR513W,gene
2201,YCL035C,gene
2202,YPL059W,gene
2208,YBR035C,gene
2210,YDR453C,gene
2211,YBL064C,gene
2212,YCR083W,gene
2213,YIL010W,gene
2214,YLR109W,gene
2217,YFR030W,gene
2218,YJR137C,gene
2276,YGL055W,gene
2303,YER141W,gene
2304,YDR376W,gene
2305,YPL252C,gene
2325,YBR003W,gene
2327,YIL094C,gene
2333,YCL030C,gene
2335,YGR191W,gene
2336,YMR088C,gene
2337,YCL069W,gene
2338,YFR025C,gene
2343,YDL205C,gene
2344,YOR278W,gene
2432,YML056C,gene
2433,YLR432W,gene
2434,YHR216W,gene
2435,YAR075W,gene
2436,YAR073W,gene
2437,YOR155C,gene
2462,YDR497C,gene
2463,YOL103W,gene
2464,YHR046C,gene
2516,YKL217W,gene
2524,YOL151W,gene
2565,YNL268W,gene
2599,YOL126C,gene
2600,YKL085W,gene
2601,YDL078C,gene
2624,YDL247W,gene
2625,YGR289C,gene
2626,YBR298C,gene
2627,YJR160C,gene
2629,YFL045C,gene
2675,YGR055W,gene
2676,YHL036W,gene
2681,YKR080W,gene
2693,YOR163W,gene
2701,YPR006C,gene
2760,YLL061W,gene
2772,YLR138W,gene
2773,YGR260W,gene
2774,YOR209C,gene
2775,YGL037C,gene
2808,YNL142W,gene
2809,YGR121C,gene
2810,YPR138C,gene
2811,YDR384C,gene
2817,YIL167W,gene
2886,YER014W,gene
2898,YKL120W,gene
3019,YER053C,gene
3028,YOR130C,gene
3030,YML106W,gene
3031,YMR271C,gene
3076,YPR167C,gene
3113,YKR093W,gene
3245,YOR109W,gene
3246,YNL106C,gene
3247,YKL212W,gene
3248,YOL065C,gene
3249,YIL002C,gene
3250,YJR077C,gene
3251,YJL198W,gene
3252,YCR037C,gene
3253,YML123C,gene
3254,YBR296C,gene
3255,YNR013C,gene
3258,YBR011C,gene
3259,YMR267W,gene
3263,YGR208W,gene
3265,YJL134W,gene
3266,YKR053C,gene
3271,YBR092C,gene
3299,YCR028C,gene
3396,YHR128W,gene
3398,YJR133W,gene
3414,YIL020C,gene
3445,YGL063W,gene
3446,YFL001W,gene
3447,YPL212C,gene
3448,YNL292W,gene
3502,YOR273C,gene
3503,YLL028W,gene
3504,YKL174C,gene
3565,YMR145C,gene
3566,YDL085W,gene
3567,YML120C,gene
3615,YOR095C,gene
3633,YJL121C,gene
3676,YPL092W,gene
3682,YLR092W,gene
3683,YBR294W,gene
3684,YGR125W,gene
3709,YPR156C,gene
3710,YGR138C,gene
3748,YBR006W,gene
3839,YOR071C,gene
3840,YLR237W,gene
3841,YOR192C,gene
3846,YGR096W,gene
3874,YDR353W,gene
3875,YHR106W,gene
4062,YBR019C,gene
4065,YPL244C,gene
4079,YBR021W,gene
4089,YHL016C,gene
4094,YBL042C,gene
4133,YLR070C,gene
