id,ORF,pathway
888,YOL061W,sce00230
889,YFL048C,sce04141
890,YMR235C,sce03013
891,YDL131W,sce00300
892,YNCO0010W,sce00970
893,YKL085W,sce00020
894,YCR048W,sce00100
895,YBR093C,sce04111
896,YNCF0014C,sce00970
897,YMR120C,sce00670
898,YEL058W,sce01250
899,YNCO0012C,sce00970
900,YPL220W,sce03010
901,YDL142C,sce00564
902,YOL133W,sce04141
903,YER070W,sce01232
904,YOR157C,sce03050
905,YDL134C,sce04113
906,YNCH0013C,sce00970
907,YOL056W,sce01230
908,YDR379W,sce04011
909,YHR215W,sce00740
910,YNCG0003C,sce00970
911,YOR278W,sce01110
912,YGL055W,sce01040
913,YOR317W,sce00061
914,YJR143C,sce00514
915,YBR082C,sce04120
916,YPL028W,sce00650
917,YLR089C,sce01210
918,YDL042C,sce04213
919,YKL113C,sce03410
920,YBR208C,sce00791
921,YGL026C,sce00260
922,YFR021W,sce04138
923,YJR049C,sce00760
924,YNCB0001W,sce00970
925,YPL281C,sce01230
926,YML065W,sce04113
927,YFR052W,sce03050
928,YNR001C,sce01210
929,YOR336W,sce04141
930,YLL058W,sce01110
931,YKL035W,sce00520
932,YNCF0002W,sce00970
933,YBR249C,sce01230
934,YGL022W,sce04141
935,YNCM0036C,sce00970
936,YBR256C,sce00740
937,tI_GAU_Q,sce00970
938,YPL234C,sce00190
939,YHR046C,sce00562
940,YIL020C,sce01110
941,YIL160C,sce04146
942,YDR294C,sce00600
943,YFL017C,sce01250
944,YJL136C,sce03010
945,YDL226C,sce04144
946,YDL021W,sce00680
947,YNCD0011W,sce00970
948,YPL061W,sce00561
949,YOR393W,sce00680
950,YNL104C,sce01210
951,YNCG0038C,sce00970
952,YGL148W,sce01110
953,YFL030W,sce00250
954,YFR004W,sce03050
955,YHR171W,sce04136
956,YLR328W,sce01240
957,YCR034W,sce00062
958,YGL103W,sce03010
959,YDL136W,sce03010
960,YLL058W,sce00270
961,YOR074C,sce01232
962,Q0130,sce00190
963,YJL034W,sce04141
964,YDR012W,sce03010
965,YDR328C,sce04141
966,YER177W,sce04011
967,YNL256W,sce00790
968,YOR388C,sce01200
969,YIL162W,sce00052
970,YDL171C,sce00250
971,YMR139W,sce04113
972,YNL113W,sce03020
973,YHR039C-A,sce00190
974,YMR035W,sce03060
975,YER065C,sce01110
976,YLR446W,sce00500
977,YBR092C,sce00730
978,YOR224C,sce03020
979,tR_UCU_Q1,sce00970
980,YCL018W,sce00660
981,YOR202W,sce01110
982,YPR165W,sce04144
983,YBR011C,sce00190
984,YFL017C,sce00520
985,YNCL0037W,sce00970
986,YKL085W,sce00620
987,YDR538W,sce00900
988,YPL076W,sce00563
989,YCL032W,sce04011
990,YDL022W,sce01110
991,YIL116W,sce00360
992,YJL071W,sce01210
993,YNR001C,sce01110
994,YLL009C,sce00190
995,YML064C,sce04111
996,YOR207C,sce03020
997,YNCG0008W,sce00970
998,YMR028W,sce04136
999,YHL018W,sce00790
1000,YDL101C,sce04111
1001,YBR274W,sce04113
1002,YER154W,sce03060
1003,YDL195W,sce04141
1004,YLR425W,sce04011
1005,YER081W,sce01230
1006,YPR103W,sce03050
1007,YLR344W,sce03010
1008,tM_CAU_Q1,sce00970
1009,YJR148W,sce01210
1010,YML126C,sce00280
1011,YFL044C,sce04141
1012,YER043C,sce00270
1013,YDR394W,sce03050
1014,YGR070W,sce04011
1015,YNCD0003W,sce00970
1016,YJR066W,sce04136
1017,YGR063C,sce03250
1018,YGL135W,sce03010
1019,YPR026W,sce00500
1020,YDR244W,sce04146
1021,YKR089C,sce00590
1022,YOR127W,sce04011
1023,YJR066W,sce04213
1024,YML110C,sce01110
1025,YER073W,sce00071
1026,YER073W,sce01240
1027,YLR056W,sce01110
1028,YMR318C,sce00040
1029,YFL058W,sce00730
1030,YOR249C,sce04120
1031,YBL037W,sce04144
1032,YPL206C,sce00564
1033,YDR516C,sce00520
1034,YJL074C,sce04111
1035,YBR263W,sce00670
1036,YKL088W,sce00770
1037,YMR190C,sce03440
1038,YCR012W,sce01200
1039,YPR178W,sce03040
1040,YOR106W,sce04138
1041,YGR109C,sce04111
1042,YDR178W,sce01200
1043,YNCO0008W,sce00970
1044,YBR263W,sce01110
1045,YIR031C,sce00620
1046,YER099C,sce01230
1047,YDR111C,sce00220
1048,YGL076C,sce03010
1049,YPL081W,sce03010
1050,YLR089C,sce01200
1051,YBR196C,sce00500
1052,YMR205C,sce00680
1053,YOR116C,sce03020
1054,YNCJ0015W,sce00970
1055,YKL055C,sce01110
1056,YFL059W,sce00750
1057,YNCL0009C,sce00970
1058,YDR079C-A,sce03022
1059,YIL099W,sce00500
1060,YDR035W,sce00400
1061,YLR304C,sce00630
1062,YHR007C,sce01110
1063,YOL105C,sce04011
1064,YGR060W,sce01110
1065,YIL162W,sce01110
1066,YCL064C,sce01230
1067,YDR481C,sce00730
1068,YAL012W,sce00270
1069,YMR231W,sce04138
1070,YNCI0005W,sce00970
1071,YDR386W,sce03440
1072,YJR094W-A,sce03010
1073,YDR242W,sce00380
1074,YPL231W,sce01212
1075,YAR035W,sce04146
1076,YLL024C,sce04213
1077,YNL130C,sce00564
1078,YER110C,sce03013
1079,YDR017C,sce04138
1080,YJR068W,sce03030
1081,YNL045W,sce00590
1082,YNL335W,sce00791
1083,YDL055C,sce01110
1084,YER003C,sce01110
1085,YMR077C,sce03250
1086,YPL110C,sce00564
1087,YLR174W,sce01200
1088,YDR400W,sce01232
1089,YAL043C,sce03015
1090,YMR207C,sce01110
1091,YOR048C,sce03018
1092,YDR163W,sce03040
1093,YBR189W,sce03010
1094,YDR234W,sce01110
1095,YNCL0001W,sce00970
1096,YHR183W,sce01110
1097,YDR110W,sce04111
1098,YNL147W,sce03040
1099,YOR101W,sce04213
1100,YCL064C,sce01110
1101,YER170W,sce01240
1102,YMR095C,sce00750
1103,YHR018C,sce00220
1104,YPL187W,sce04011
1105,YDR111C,sce01210
1106,YNCE0014W,sce00970
1107,YGL019W,sce04139
1108,YPR173C,sce03250
1109,YIR038C,sce00480
1110,YDL179W,sce04111
1111,YDL215C,sce00910
1112,YKR084C,sce03015
1113,YHL012W,sce00520
1114,YGL148W,sce01230
1115,YPL078C,sce00190
1116,YNL318C,sce04113
1117,YDR004W,sce03440
1118,YGR205W,sce00630
1119,YER031C,sce04144
1120,YIL172C,sce00052
1121,YMR108W,sce00770
1122,YKL106W,sce01200
1123,YGR208W,sce00260
1124,YNCG0023C,sce00970
1125,YOR106W,sce04130
1126,YMR008C,sce00564
1127,YMR036C,sce04011
1128,YNR027W,sce00750
1129,YOR357C,sce04144
1130,YGR170W,sce01110
1131,YDR127W,sce01230
1132,YFR015C,sce00500
1133,YGR108W,sce04011
1134,YBL068W,sce01200
1135,YJL052W,sce01110
1136,YBR146W,sce03010
1137,YHL031C,sce04130
1138,YBL018C,sce03008
1139,YIL164C,sce00380
1140,YNCD0017W,sce00970
1141,YEL066W,sce00470
1142,YDR158W,sce01210
1143,YMR169C,sce00280
1144,YJL130C,sce00250
1145,YKL062W,sce04011
1146,YJL030W,sce04111
1147,YOR095C,sce01200
1148,YLR146C,sce00330
1149,YNCM0007C,sce00970
1150,YOR374W,sce00071
1151,YJR109C,sce01240
1152,YNCK0003W,sce00970
1153,YPR040W,sce04138
1154,YLR058C,sce00630
1155,YDR486C,sce04144
1156,YDL175C,sce03018
1157,YGR287C,sce00052
1158,YNL267W,sce00562
1159,YER001W,sce00514
1160,YOR259C,sce03050
1161,YHR128W,sce01232
1162,YPR111W,sce04111
1163,YBR073W,sce03440
1164,YOR003W,sce04138
1165,YIL145C,sce01240
1166,YNL053W,sce04011
1167,YFL028C,sce03018
1168,YEL012W,sce04120
1169,YER165W,sce03015
1170,YKR089C,sce00100
1171,YLL039C,sce04120
1172,YNCD0012W,sce00970
1173,YPL104W,sce00970
1174,YNCM0006W,sce00970
1175,YJR022W,sce03018
1176,YLR372W,sce01040
1177,YNCP0016W,sce00970
1178,YBR176W,sce01110
1179,YBR020W,sce00520
1180,YIL020C,sce01230
1181,YBL041W,sce03050
1182,tF_GAA_Q,sce00970
1183,YBR003W,sce01110
1184,YMR110C,sce00310
1185,YKL028W,sce03022
1186,YJR086W,sce04011
1187,YBR217W,sce04138
1188,YJL101C,sce00480
1189,YKL085W,sce01200
1190,YOR125C,sce01110
1191,YGL062W,sce01230
1192,YFL018C,sce01240
1193,YNCM0008C,sce00970
1194,YOR208W,sce04011
1195,YDR178W,sce00190
1196,YNCD0001W,sce00970
1197,YCR096C,sce04113
1198,YNCK0018C,sce00970
1199,YER023W,sce00330
1200,YNL299W,sce03018
1201,YCL052C,sce00563
1202,YBR221C,sce01110
1203,YDR086C,sce04145
1204,YER015W,sce00071
1205,YIR029W,sce00230
1206,YLR395C,sce00190
1207,YNL247W,sce00970
1208,YHR030C,sce04011
1209,YGL202W,sce00350
1210,YGR214W,sce03010
1211,YFR036W,sce04113
1212,YMR006C,sce00564
1213,YDL185W,sce00190
1214,YNCB0006W,sce00970
1215,YMR289W,sce00790
1216,YDL168W,sce00071
1217,YNCJ0027C,sce00970
1218,YGL190C,sce03015
1219,YDL229W,sce04141
1220,YOL086C,sce00620
1221,YNL112W,sce03040
1222,YLR229C,sce04144
1223,YJL200C,sce01210
1224,YIL021W,sce03020
1225,YMR278W,sce01110
1226,YDR363W-A,sce03440
1227,YDL102W,sce03440
1228,YNCO0011W,sce00970
1229,YJR016C,sce00290
1230,YOR196C,sce01240
1231,YHR046C,sce04070
1232,YDR300C,sce00330
1233,YGR091W,sce03040
1234,YNCF0012C,sce00970
1235,YLR208W,sce03013
1236,YJL069C,sce03008
1237,YBL068W,sce00030
1238,YKL069W,sce00270
1239,YOR374W,sce00561
1240,YOR108W,sce00290
1241,YNCN0003W,sce00970
1242,YJL164C,sce04213
1243,YMR110C,sce00620
1244,YGL202W,sce00360
1245,YOR108W,sce00620
1246,YDR516C,sce00500
1247,YPL231W,sce00061
1248,YBR110W,sce00513
1249,YCL018W,sce01110
1250,YDL111C,sce03018
1251,YBR006W,sce00310
1252,YGR048W,sce04141
1253,YPR001W,sce01230
1254,YJL096W,sce03010
1255,YPR069C,sce00480
1256,YMR013C,sce00510
1257,YJR078W,sce00380
1258,YBR159W,sce01110
1259,YER144C,sce04144
1260,YOR321W,sce00514
1261,YKL196C,sce04130
1262,YOL033W,sce00860
1263,YOL055C,sce01240
1264,YHR094C,sce04113
1265,YDR032C,sce01240
1266,YMR165C,sce00564
1267,YMR113W,sce01240
1268,YMR105C,sce00500
1269,YLR058C,sce00680
1270,YDL168W,sce01110
1271,YIL146C,sce04139
1272,YBR060C,sce04111
1273,YGL125W,sce00670
1274,YDL083C,sce03010
1275,YOR182C,sce03010
1276,YPL147W,sce02010
1277,YMR303C,sce00071
1278,YDR321W,sce00250
1279,YJL045W,sce01200
1280,YBR242W,sce00230
1281,YJL092W,sce03430
1282,YJR025C,sce01240
1283,YHR188C,sce00563
1284,YDL078C,sce00630
1285,YNCE0008C,sce00970
1286,YDL127W,sce04111
1287,YML070W,sce00051
1288,YDR019C,sce01200
1289,YLR209C,sce01232
1290,YNL189W,sce03013
1291,YOR209C,sce00760
1292,YPR010C,sce03020
1293,YPR019W,sce04113
1294,YBL027W,sce03010
1295,YLR090W,sce04141
1296,YDL166C,sce03008
1297,YOR069W,sce04144
1298,YDL166C,sce00230
1299,YDR409W,sce04120
1300,YFR053C,sce00500
1301,YER073W,sce00770
1302,YHR010W,sce03010
1303,YER014W,sce01110
1304,YOR319W,sce03040
1305,YNR051C,sce04139
1306,YBR248C,sce01110
1307,YNL222W,sce03015
1308,YLR146C,sce00270
1309,YBR065C,sce03040
1310,YPL090C,sce03010
1311,YPR167C,sce00920
1312,YNL316C,sce01110
1313,YOR374W,sce00310
1314,YGL027C,sce04141
1315,YMR020W,sce00330
1316,YMR093W,sce03008
1317,YDL132W,sce04141
1318,YNCE0013W,sce00970
1319,YJL121C,sce01110
1320,YNCG0027W,sce00970
1321,YLR147C,sce04139
1322,YNL290W,sce03430
1323,YLR355C,sce00770
1324,YDR410C,sce00900
1325,YOR085W,sce00510
1326,YJL219W,sce04113
1327,YOR196C,sce00785
1328,YMR213W,sce03040
1329,YHL011C,sce01200
1330,YJL187C,sce04011
1331,YIL035C,sce03008
1332,YER005W,sce00230
1333,YIL074C,sce01230
1334,YOR374W,sce00380
1335,YLR133W,sce00564
1336,YLR103C,sce04111
1337,YLR058C,sce01230
1338,YDR353W,sce00450
1339,YOR096W,sce03010
1340,YKL212W,sce04070
1341,YBR249C,sce01110
1342,YLR129W,sce03008
1343,YBL015W,sce00620
1344,YNL141W,sce00230
1345,YNR006W,sce04145
1346,YAR002W,sce03013
1347,YGL202W,sce00300
1348,YAL012W,sce01230
1349,YKR053C,sce00600
1350,YKR057W,sce03010
1351,YNCK0004W,sce00970
1352,YDL192W,sce04144
1353,YGL095C,sce04138
1354,YER073W,sce00620
1355,YDR382W,sce03010
1356,YJR139C,sce00260
1357,YPR073C,sce00740
1358,YPL053C,sce00513
1359,YGR019W,sce00650
1360,YGR102C,sce00970
1361,YGR254W,sce01230
1362,YNL229C,sce00480
1363,YBR263W,sce01230
1364,YLR158C,sce00250
1365,YMR169C,sce00770
1366,YJL214W,sce04113
1367,YOR313C,sce04113
1368,YPR049C,sce04136
1369,YER133W,sce04113
1370,YLR188W,sce02010
1371,YDL102W,sce03030
1372,YDR153C,sce04144
1373,YGR276C,sce03008
1374,YMR105C,sce00520
1375,YBR035C,sce01240
1376,YNCJ0006W,sce00970
1377,YNR050C,sce00310
1378,YLR306W,sce04120
1379,YKL203C,sce04113
1380,YOL052C,sce00270
1381,YJL076W,sce04111
1382,YKL186C,sce03015
1383,YJR042W,sce03013
1384,YHR205W,sce04138
1385,YNCD0013C,sce00970
1386,YDL082W,sce03010
1387,YDL052C,sce00564
1388,YKL104C,sce00250
1389,YDL021W,sce01230
1390,YEL046C,sce01230
1391,YPL249C-A,sce03010
1392,YHR111W,sce04122
1393,YLL058W,sce00920
1394,YDR287W,sce01110
1395,YJL045W,sce00020
1396,YMR169C,sce01240
1397,YNL329C,sce04146
1398,YHR106W,sce00450
1399,YMR159C,sce04138
1400,YDL194W,sce04113
1401,YML025C,sce03010
1402,YKR094C,sce03010
1403,YKL022C,sce04111
1404,YGL187C,sce00190
1405,YGL184C,sce00450
1406,YMR236W,sce03022
1407,YDR248C,sce01200
1408,YML001W,sce04138
1409,YDR530C,sce00920
1410,YGR218W,sce03013
1411,YGL156W,sce00511
1412,YDR516C,sce01200
1413,YGL245W,sce01240
1414,YGL240W,sce04113
1415,YBL075C,sce04213
1416,YKL013C,sce04144
1417,YDR283C,sce04141
1418,YCR084C,sce04111
1419,YGR192C,sce01110
1420,YNL037C,sce00020
1421,YGL003C,sce04111
1422,YDR399W,sce01110
1423,YKL192C,sce00190
1424,YFL018C,sce00620
1425,YNL284C,sce03010
1426,YGR088W,sce04146
1427,YBL033C,sce01240
1428,YNCO0018W,sce00970
1429,YJL005W,sce04213
1430,YCL009C,sce00290
1431,YIL145C,sce00410
1432,YJL002C,sce00510
1433,YPL240C,sce04141
1434,YJL168C,sce00310
1435,YMR037C,sce04213
1436,YDR011W,sce02010
1437,YMR080C,sce03015
1438,YKL068W,sce03013
1439,YJL148W,sce03020
1440,YJR043C,sce03440
1441,YPL281C,sce01200
1442,YJL200C,sce00300
1443,YJR066W,sce04113
1444,YBR196C,sce00520
1445,YNCJ0014C,sce00970
1446,YNCL0032C,sce00970
1447,YLR025W,sce03250
1448,YDR226W,sce01240
1449,YKL113C,sce03030
1450,YJL030W,sce04113
1451,YFL033C,sce04213
1452,YML004C,sce00620
1453,YJL065C,sce03420
1454,YOR101W,sce04113
1455,YMR062C,sce00220
1456,YDL134C,sce04138
1457,YPL096W,sce04141
1458,YJL140W,sce03020
1459,YNCM0018C,sce00970
1460,YMR205C,sce01230
1461,YLR406C,sce03010
1462,YIL094C,sce01110
1463,YOR179C,sce03015
1464,YMR026C,sce04146
1465,YCL009C,sce01210
1466,YNL009W,sce01200
1467,YDL182W,sce00620
1468,YOL058W,sce00220
1469,YGL008C,sce00190
1470,YKR097W,sce00020
1471,YLR186W,sce03008
1472,YNL117W,sce01110
1473,YOL143C,sce01110
1474,YDR302W,sce00563
1475,YLR029C,sce03010
1476,YDR096W,sce04213
1477,YGR194C,sce00040
1478,YDR481C,sce00790
1479,YLR293C,sce03013
1480,YDR307W,sce00514
1481,YBR020W,sce00052
1482,YDR400W,sce00760
1483,YDR208W,sce00562
1484,YHR166C,sce04111
1485,YKL087C,sce00860
1486,YJR010W,sce00261
1487,YJR159W,sce00040
1488,YOR251C,sce00270
1489,YKL154W,sce03060
1490,YJL068C,sce01200
1491,YGR012W,sce01230
1492,YOR347C,sce01200
1493,YNCI0012,sce03010
1494,YGR128C,sce03008
1495,YDR236C,sce01110
1496,YLR377C,sce00680
1497,YBR052C,sce01110
1498,YNR057C,sce00780
1499,YGR108W,sce04113
1500,YBR243C,sce00510
1501,tC_GCA_Q,sce00970
1502,YER023W,sce01230
1503,YER091C,sce00270
1504,YCR073W-A,sce01200
1505,YGL206C,sce04144
1506,YNCL0039W,sce00970
1507,YBR118W,sce03013
1508,YOR176W,sce00860
1509,YBR289W,sce03250
1510,Q0120,sce00190
1511,YBL082C,sce00510
1512,YFL030W,sce01110
1513,YNCB0012W,sce00970
1514,YNL138W-A,sce03040
1515,YCR053W,sce00750
1516,YJR019C,sce00062
1517,YJR073C,sce01110
1518,YPL002C,sce04144
1519,YKL019W,sce00900
1520,YLR174W,sce04146
1521,YBR278W,sce03030
1522,YNCG0009C,sce00970
1523,YOR063W,sce03010
1524,YNCL0045W,sce00970
1525,YPR160W,sce01110
1526,YPL234C,sce04145
1527,YOL033W,sce01110
1528,YJL203W,sce03040
1529,YER129W,sce04138
1530,YER170W,sce01232
1531,YMR318C,sce01110
1532,YDR142C,sce04146
1533,YJL183W,sce00513
1534,YKL055C,sce01240
1535,YPL151C,sce03040
1536,YJL210W,sce04146
1537,YOL105C,sce04139
1538,YPL061W,sce00380
1539,YJL091C,sce00563
1540,YJL121C,sce00040
1541,YGR254W,sce03018
1542,YGR180C,sce00240
1543,YER146W,sce03018
1544,YCR077C,sce03018
1545,YML126C,sce00900
1546,YNL102W,sce03030
1547,YPR035W,sce00630
1548,YDR411C,sce04141
1549,YLR127C,sce04113
1550,YCR105W,sce00561
1551,YBL023C,sce04113
1552,YJL200C,sce01230
1553,YNL104C,sce00620
1554,YIL009W,sce00071
1555,YKL101W,sce04111
1556,YNCG0035W,sce00970
1557,YDL028C,sce04111
1558,YHR089C,sce03008
1559,YBL078C,sce04139
1560,YGL100W,sce03013
1561,YDR529C,sce00190
1562,YMR318C,sce01240
1563,YKR058W,sce01110
1564,YOL021C,sce03018
1565,YER086W,sce01200
1566,YDL055C,sce01250
1567,YDR477W,sce04113
1568,YBR202W,sce04113
1569,YGR155W,sce01110
1570,YCR068W,sce04138
1571,YER141W,sce01110
1572,YBR242W,sce01232
1573,YBL105C,sce04070
1574,YHR190W,sce01110
1575,YBR001C,sce01110
1576,YJL002C,sce04141
1577,YDL090C,sce01110
1578,YNCB0007W,sce00970
1579,YDR030C,sce03420
1580,YOL136C,sce00051
1581,YEL032W,sce03030
1582,YHR205W,sce04213
1583,YHR072W,sce01110
1584,YOR103C,sce00510
1585,YBR055C,sce03040
1586,YMR110C,sce00770
1587,YGR034W,sce03010
1588,YPL256C,sce04111
1589,YLR299W,sce00430
1590,YBL039C,sce01232
1591,YBR278W,sce03410
1592,YLR044C,sce01110
1593,YNCD0029C,sce00970
1594,YPL178W,sce03013
1595,YPL065W,sce04144
1596,YBR019C,sce00052
1597,YNCP0009W,sce00970
1598,YPL262W,sce01110
1599,YOR210W,sce03020
1600,YER165W,sce03018
1601,YJR131W,sce00510
1602,YBR128C,sce04138
1603,YCR063W,sce03040
1604,YKL211C,sce01110
1605,YOR231W,sce04011
1606,YNCG0025C,sce00970
1607,YML019W,sce00513
1608,YLR222C,sce03008
1609,YMR110C,sce00561
1610,YIL125W,sce01110
1611,YDR097C,sce03430
1612,YER074W,sce03010
1613,YFL018C,sce00310
1614,YLR027C,sce00250
1615,YLR027C,sce00330
1616,YBR283C,sce04145
1617,YJL216C,sce00052
1618,YDR221W,sce04141
1619,YNL037C,sce01210
1620,YMR250W,sce01110
1621,YEL026W,sce03008
1622,YDR158W,sce00261
1623,YIL066C,sce00240
1624,YGL253W,sce00052
1625,YLR187W,sce03018
1626,YDR191W,sce04213
1627,YLR275W,sce03040
1628,YAL012W,sce00260
1629,YBR221C,sce00020
1630,YJL045W,sce01110
1631,YFL030W,sce00260
1632,YER162C,sce03420
1633,YDL131W,sce01210
1634,YOR270C,sce00190
1635,YBR248C,sce01230
1636,YDR440W,sce00310
1637,YLR274W,sce03030
1638,YNL167C,sce04011
1639,YJL049W,sce04144
1640,YBR083W,sce04392
1641,YGR240C,sce01110
1642,YDR156W,sce03020
1643,YCR004C,sce00130
1644,YNL278W,sce03018
1645,YDR047W,sce01240
1646,YGL180W,sce04136
1647,YMR220W,sce01110
1648,YIL072W,sce04113
1649,YDL171C,sce00910
1650,YOR008C,sce04011
1651,YNL277W,sce00920
1652,YDR052C,sce04113
1653,YHR033W,sce01230
1654,YCL030C,sce01110
1655,YML070W,sce00561
1656,YPL140C,sce04011
1657,YJR006W,sce03410
1658,YCR105W,sce01110
1659,Q0158,sce03010
1660,YKL127W,sce00520
1661,YLR088W,sce00563
1662,YFR015C,sce01110
1663,YIL094C,sce01210
1664,YHL011C,sce01110
1665,YNL306W,sce03010
1666,YPL028W,sce00900
1667,YNL139C,sce03040
1668,YNCN0012C,sce00970
1669,YPR184W,sce00500
1670,YDL103C,sce01250
1671,YJL071W,sce01230
1672,YLR058C,sce00260
1673,YOL033W,sce01240
1674,YLR303W,sce00920
1675,YOR061W,sce03008
1676,YKR089C,sce00565
1677,YMR110C,sce00071
1678,YHR067W,sce00061
1679,YHR007C,sce00100
1680,YBR015C,sce00513
1681,YDL188C,sce04136
1682,YBR229C,sce00510
1683,YER073W,sce00310
1684,YNCL0027W,sce03008
1685,YEL051W,sce04145
1686,tR_ACG_Q2,sce00970
1687,YHR079C,sce04141
1688,YCR036W,sce00030
1689,YMR224C,sce03450
1690,YMR170C,sce00053
1691,YOR085W,sce00513
1692,YPR006C,sce00630
1693,YMR170C,sce00310
1694,YKL127W,sce00030
1695,YDL015C,sce01212
1696,YGL086W,sce04111
1697,YBR213W,sce01110
1698,YNR033W,sce01240
1699,YGR098C,sce04113
1700,YPL069C,sce01110
1701,YGL012W,sce01110
1702,YNCP0023W,sce00970
1703,YPR102C,sce03010
1704,YDR092W,sce04120
1705,tS_GCU_Q1,sce00970
1706,YFR053C,sce01200
1707,YML001W,sce04145
1708,YNL248C,sce03020
1709,YBR218C,sce01230
1710,YLR328W,sce00760
1711,YNCB0002W,sce00970
1712,YJR104C,sce04146
1713,YER111C,sce04111
1714,YLR075W,sce03010
1715,YIL066C,sce00230
1716,YPL028W,sce00620
1717,YNCJ0021C,sce00970
1718,YMR165C,sce00561
1719,YLR158C,sce01110
1720,YDR135C,sce02010
1721,YNCJ0008W,sce00970
1722,YNCL0031W,sce03010
1723,YDR523C,sce04113
1724,YOR142W,sce01110
1725,YNCD0021C,sce00970
1726,YML082W,sce01110
1727,YNCG0002C,sce00970
1728,YLR372W,sce00062
1729,YMR207C,sce00620
1730,YNL219C,sce00510
1731,YDR023W,sce00970
1732,YKL001C,sce00230
1733,YDL164C,sce03420
1734,YJR148W,sce01110
1735,YNL130C,sce00565
1736,YGR156W,sce03015
1737,YLR174W,sce01110
1738,YNL154C,sce04392
